id,output
535,(ORDER (PIZZAORDER (NUMBER five ) (STYLE smal ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING pepper ) ) (COMPLEX_TOPPING (QUANTITY light truffle ) (TOPPING oil ) ) ) )
536,(ORDER (PIZZAORDER (NUMBER one ) (SIZE personal ) (TOPPING cerry ) (TOPPING tomato ) (TOPPING cheese ) (NOT (TOPPING pesto ) ) ) )
537,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING tofu ) (TOPPING basil ) (NOT (TOPPING sausage ) ) ) )
538,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING cucumber ) (TOPPING chicken ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING cheese ) ) ) )
539,(ORDER (PIZZAORDER (NUMBER an ) (SIZE medium ) (TOPPING chorizo ) (TOPPING cheese ) (NOT (TOPPING pesto ) ) ) )
540,(ORDER (PIZZAORDER (NUMBER nine ) (SIZE large ) (STYLE supreme ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE veggie ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING cheese ) ) ) )
541,(ORDER (PIZZAORDER (NUMBER an ) (SIZE extra large ) (TOPPING liht ) (TOPPING carrot ) (TOPPING tuna ) (NOT (TOPPING pepperoni ) ) ) )
542,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING zucchini ) (TOPPING broccoli ) ) )
543,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING pickle ) (TOPPING onion ) (TOPPING roast ) (TOPPING eggplant ) ) )
544,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING ham ) (TOPPING pineapple ) (TOPPING jalepenos ) ) (DRINKORDER (NUMBER two ) (SIZE small ) (DRINKTYPE coke zero ) ) )
545,(ORDER (PIZZAORDER (NUMBER fifteen ) (TOPPING mediumsize ) (TOPPING hamburgr ) (TOPPING chicken ) (NOT (TOPPING pineapple ) ) ) )
546,(ORDER (PIZZAORDER (NUMBER ten ) (SIZE medium ) (STYLE supreme cicken ) ) (DRINKORDER (NUMBER ten ) (SIZE large ) (DRINKTYPE sprite ) ) )
547,(ORDER )
548,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING tomato ) (TOPPING sauce ) (TOPPING leek ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY a tny bit of ) (TOPPING cheese ) ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE waer ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE waer ) ) )
549,(ORDER )
550,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING oives ) (TOPPING sausage ) (COMPLEX_TOPPING (QUANTITY little ) (TOPPING cheese ) ) ) )
551,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING bay ) (TOPPING leaf ) (TOPPING oregano ) (TOPPING mushroom ) ) )
552,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING hot ) (TOPPING pepper ) (NOT (TOPPING olive ) ) (COMPLEX_TOPPING (QUANTITY a lot of ) (TOPPING cheese ) ) ) )
553,(ORDER (PIZZAORDER (NUMBER one ) (STYLE mediumsize ) (NOT (TOPPING green bell pepper but ) ) (NOT (TOPPING sauce ) ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING bacon ) (TOPPING ham ) ) )
554,(ORDER (PIZZAORDER (NUMBER five ) (SIZE small ) (TOPPING tofu ) (TOPPING lettce ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE diet pepsi ) ) )
555,(ORDER (PIZZAORDER (NUMBER a a ) (STYLE med ) (TOPPING olive ) (TOPPING mushroom ) (COMPLEX_TOPPING (QUANTITY little ) (TOPPING cheese ) ) ) )
556,(ORDER (PIZZAORDER (NUMBER four ) (TOPPING parsley ) (TOPPING green ) (TOPPING olive ) (TOPPING ham ) ) )
557,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING etra ) (TOPPING onion ) (TOPPING pineapple ) (NOT (TOPPING pepper ) ) ) )
558,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING bbq ) (TOPPING chicken ) (TOPPING bacon ) ) )
559,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumsize ) (TOPPING feta ) (TOPPING cheese ) (TOPPING oregao ) (TOPPING pepperoni ) ) )
560,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chard ) (TOPPING tuna ) (TOPPING pesto ) ) )
561,(ORDER (PIZZAORDER (NUMBER one ) (STYLE med ) (TOPPING pesto ) (TOPPING cumin ) (NOT (TOPPING basil ) ) ) )
562,(ORDER (PIZZAORDER (NUMBER have nine ) (SIZE extra large ) (STYLE pan ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegetarian ) ) )
563,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING sauce ) (TOPPING lettce ) (TOPPING onion ) (COMPLEX_TOPPING (QUANTITY mediumsizd ) (TOPPING buffalo ) ) ) )
564,(ORDER (PIZZAORDER (NUMBER fifteen ) (STYLE largesize ) (TOPPING olive ) (TOPPING onion ) (TOPPING pesto ) ) )
565,(ORDER (PIZZAORDER (NUMBER a ) (NOT (TOPPING garlic ) ) ) )
566,(ORDER (PIZZAORDER (NUMBER a ) (STYLE personl ) (TOPPING a ) (COMPLEX_TOPPING (QUANTITY light on ) (TOPPING cheese ) ) ) )
567,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING settle ) ) (PIZZAORDER (NUMBER on a ) (NOT (STYLE stuff crust ) ) (TOPPING green ) (TOPPING pepper ) (TOPPING cucumber ) ) )
568,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumsize ) (TOPPING broccoli ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY light ) (TOPPING on ) ) ) )
569,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pea ) ) (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING feta ) (TOPPING cheeseburger ) (TOPPING pineapple ) ) )
570,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING cheese ) (TOPPING parsley ) (NOT (TOPPING spicy red sauce ) ) ) )
571,(ORDER (PIZZAORDER (NUMBER eleven ) (TOPPING caramelize ) (TOPPING red ) (TOPPING roast ) (TOPPING eggplant ) (TOPPING red ) (TOPPING cabbage ) ) )
572,(ORDER (PIZZAORDER (NUMBER an ) (SIZE large ) (TOPPING cucumber ) (TOPPING roast ) (TOPPING garlic ) (NOT (TOPPING banana pepper ) ) ) )
573,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING green ) (TOPPING pepper ) (TOPPING sausage ) (NOT (TOPPING basil ) ) ) )
574,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING smal ) (TOPPING potato ) ) (PIZZAORDER (NUMBER one ) (STYLE smal meat lover ) (NOT (TOPPING mushroom ) ) ) (DRINKORDER (NUMBER one ) (SIZE medium ) ) (DRINKORDER (NUMBER one ) (SIZE medium ) ) )
575,(ORDER (PIZZAORDER (NUMBER ten ) (TOPPING blue ) (TOPPING cheese ) (TOPPING tomato ) ) )
576,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING low ) (TOPPING fat ) (TOPPING cheese ) (TOPPING mushroom ) (TOPPING pepper ) ) )
577,(ORDER )
578,(ORDER (PIZZAORDER (NUMBER an ) (SIZE lunch ) (TOPPING jalepenos ) (TOPPING onion ) (NOT (TOPPING pepperoni ) ) ) )
579,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING thee ) (TOPPING italian ) (TOPPING sausage ) (TOPPING bacon ) (TOPPING pesto ) ) )
580,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (STYLE tofu ) (TOPPING zucchini ) (NOT (TOPPING tomatoe sauce ) ) ) )
581,(ORDER (PIZZAORDER (NUMBER nine ) (TOPPING gruyere ) (TOPPING cheese ) (TOPPING groundbeef ) (NOT (TOPPING pepperoni ) ) ) )
582,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING feta ) (TOPPING cheese ) (TOPPING garlic ) (TOPPING powder ) ) )
583,(ORDER (PIZZAORDER (NUMBER one ) (SIZE med ) (TOPPING roast ) (TOPPING garlic ) (NOT (TOPPING tuna ) ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING carros ) ) ) )
584,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING ham ) (TOPPING mushroom ) ) )
585,(ORDER (PIZZAORDER (NUMBER eight ) (STYLE mediumsze ) (TOPPING zucchini ) ) )
586,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tomato ) (TOPPING sauce ) (TOPPING pepper ) (NOT (TOPPING pineapple ) ) ) )
587,(ORDER (PIZZAORDER (NUMBER three ) (STYLE mediumsize ) (TOPPING beef ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING grind ) ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING lamb ) ) )
588,(ORDER )
589,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING spicy ) (TOPPING red ) (TOPPING sauce ) (TOPPING pesto ) (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING cheese ) ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE diet coke ) ) )
590,(ORDER (PIZZAORDER (NUMBER one ) (SIZE xl ) (STYLE eght ) ) (PIZZAORDER (NUMBER one ) (STYLE big meat ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE veggie ) (TOPPING heavy ) (TOPPING prmesan ) ) (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE coke ) ) (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE coke ) ) (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE coke ) ) )
591,(ORDER (PIZZAORDER (NUMBER one ) (NOT (STYLE crust ) ) (TOPPING beef ) (TOPPING corn ) ) )
592,(ORDER (PIZZAORDER (NUMBER seven ) (SIZE medium ) (TOPPING chicken ) ) (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING pepperoni ) ) (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegetarian ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE unsweetened ice tea ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE unsweetened ice tea ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE unsweetened ice tea ) ) )
593,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING buffalo ) (TOPPING sauce ) (TOPPING ham ) (NOT (TOPPING mushroom ) ) ) )
594,(ORDER )
595,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (STYLE lover ) (TOPPING pesto ) (TOPPING ham ) ) )
596,(ORDER (PIZZAORDER (NUMBER ten ) (SIZE xl ) (TOPPING grill ) (NOT (TOPPING pesto ) ) (COMPLEX_TOPPING (QUANTITY light ) (TOPPING cheese ) ) ) )
597,(ORDER (PIZZAORDER (NUMBER one ) (STYLE new yok style ) (TOPPING ham ) (TOPPING oregano ) ) )
598,(ORDER (PIZZAORDER (NUMBER thirteen ) (TOPPING red ) (TOPPING pepper ) (TOPPING onion ) (NOT (TOPPING carrot jut ) ) ) )
599,(ORDER )
600,(ORDER )
601,(ORDER (PIZZAORDER (NUMBER fourteen ) (SIZE large ) (TOPPING black ) (TOPPING olive ) (TOPPING parmesan ) ) )
602,(ORDER (PIZZAORDER (NUMBER fifteen ) (TOPPING largesize ) (TOPPING pickle ) (TOPPING alfredo ) (TOPPING chicken ) (NOT (TOPPING olive ) ) ) )
603,(ORDER (PIZZAORDER (NUMBER a ) (STYLE stuff crust ) (NOT (TOPPING pepperoni ) ) ) )
604,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING vegan ) (TOPPING lettuce ) (TOPPING pickle ) ) )
605,(ORDER (PIZZAORDER (NUMBER ten ) (STYLE med ) (TOPPING tomato ) (TOPPING mushroom ) (TOPPING tuna ) ) )
606,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE zucchini ) (TOPPING extr ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE sprite ) (CONTAINERTYPE bottle ) ) )
607,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING pick ) (TOPPING sausage ) (NOT (TOPPING olive ) ) ) )
608,(ORDER (PIZZAORDER (NUMBER an ) (TOPPING anchovy ) (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING cheese ) ) ) )
609,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING basamic ) (TOPPING glaze ) (NOT (TOPPING mushroom ) ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING cheese ) ) ) )
610,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING green ) (TOPPING pepper ) (TOPPING havy ) (TOPPING cheese ) (NOT (TOPPING tuna ) ) ) )
611,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING onion ) (TOPPING ricotta ) (TOPPING cheese ) (NOT (TOPPING pineapple ) ) ) )
612,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING low ) (TOPPING fat ) (TOPPING cheese ) (TOPPING tomato ) (NOT (TOPPING pikles ) ) ) )
613,(ORDER (PIZZAORDER (NUMBER three ) (TOPPING cheese ) (NOT (TOPPING onion ) ) (COMPLEX_TOPPING (QUANTITY persoal ) (TOPPING anchovy ) ) ) )
614,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumized ) (TOPPING onion ) (TOPPING parmasean ) (NOT (TOPPING green pepper ) ) ) )
615,(ORDER (PIZZAORDER (NUMBER a ) (STYLE vegetarian ) (TOPPING tuna ) (COMPLEX_TOPPING (QUANTITY light truffle ) (TOPPING oil ) ) ) )
616,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING feta ) (TOPPING onion ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (TOPPING heavy ) (TOPPING cheese ) ) (DRINKORDER (NUMBER a ) (SIZE xl ) (DRINKTYPE seven u ) ) (DRINKORDER (NUMBER a ) (SIZE xl ) (DRINKTYPE seven u ) ) )
617,(ORDER (PIZZAORDER (NUMBER one ) (NOT (STYLE deep ) ) (TOPPING arugula ) (TOPPING banana ) (TOPPING pepper ) (NOT (TOPPING dish ) ) ) )
618,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med combintion ) ) (DRINKORDER (NUMBER two ) (SIZE small ) (DRINKTYPE apple juice ) ) )
619,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING plea ) ) (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE new york style ) (TOPPING feta ) (TOPPING sausage ) ) )
620,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING lamb ) (NOT (TOPPING onion ) ) (COMPLEX_TOPPING (QUANTITY additional ) (TOPPING cheese ) ) ) )
621,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING onion ) (TOPPING chicken ) (COMPLEX_TOPPING (QUANTITY atiny bit of ) (TOPPING cheese ) ) ) )
622,(ORDER (PIZZAORDER (NUMBER an ) (TOPPING pepperoni ) (TOPPING tomato ) (TOPPING green ) (TOPPING olive ) ) )
623,(ORDER )
624,(ORDER (PIZZAORDER (NUMBER one ) (SIZE med ) (TOPPING pepperoni ) (TOPPING onion ) (TOPPING mushroom ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE seven up ) ) )
625,(ORDER (PIZZAORDER (NUMBER seven ) (SIZE lunch ) (STYLE ccumber ) (TOPPING a ) (TOPPING parmesan ) ) )
626,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING lettuce ) (NOT (TOPPING pepperoni ) ) (COMPLEX_TOPPING (QUANTITY saute ) (TOPPING spinach ) ) ) )
627,(ORDER (PIZZAORDER (NUMBER one ) (NOT (STYLE thin crust ) ) (TOPPING roast ) (TOPPING red ) (TOPPING onion ) (TOPPING buffalo ) (TOPPING sauce ) ) )
628,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING salami ) (TOPPING low ) (TOPPING fat ) (TOPPING chese ) (TOPPING onion ) ) )
629,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING sweet ) (TOPPING tuna ) (TOPPING mushroom ) ) )
630,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING sauce ) (TOPPING oregano ) (NOT (TOPPING tuna ) ) ) )
631,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING mint ) (TOPPING grill ) (TOPPING chicken ) ) (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING sport ) ) )
632,(ORDER )
633,(ORDER (PIZZAORDER (NUMBER two ) (SIZE xl ) (TOPPING mushy ) (TOPPING pea ) (TOPPING goat ) (TOPPING cheese ) (NOT (TOPPING pesto ) ) ) )
634,(ORDER (PIZZAORDER (NUMBER one ) (STYLE largesize ) (TOPPING hamburger ) (TOPPING bacon ) (NOT (TOPPING cheese ) ) ) )
635,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE lamb ) (TOPPING onion ) (COMPLEX_TOPPING (QUANTITY a lot ) (TOPPING of ) ) (COMPLEX_TOPPING (QUANTITY sweet ) (TOPPING potato ) ) ) )
636,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING feta ) (COMPLEX_TOPPING (QUANTITY a tiny bit of ) (TOPPING cheese ) ) ) )
637,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING bell ) (TOPPING pppers ) (TOPPING sausage ) (NOT (TOPPING bacon ) ) ) )
638,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pick ) ) (PIZZAORDER (NUMBER a ) (STYLE mediumsize ) (TOPPING broccoli ) (TOPPING sausage ) (TOPPING onion ) ) )
639,(ORDER (PIZZAORDER (NUMBER a ) (STYLE largesize ) (TOPPING chicken ) (TOPPING vegan ) (TOPPING pepperoni ) (TOPPING pineapple ) ) )
640,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (NOT (STYLE stuff crust ) ) (TOPPING shrimp ) (TOPPING yellow ) ) )
641,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING cheddar ) (TOPPING cheese ) (TOPPING bbq ) (TOPPING chicken ) (NOT (TOPPING tuna ) ) ) )
642,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING vegan ) (TOPPING pepperoni ) (TOPPING zucchini ) ) )
643,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING cheese ) (NOT (TOPPING pepperoni ) ) (COMPLEX_TOPPING (QUANTITY more ) (TOPPING broccoli ) ) ) )
644,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING tuna ) (TOPPING mushroom ) (NOT (TOPPING bacon ) ) ) )
645,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING zucchini ) (TOPPING onion ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) (COMPLEX_TOPPING (QUANTITY more ) (TOPPING cheese ) ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE water ) ) (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE water ) ) )
646,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING bbq ) (TOPPING sauce ) (TOPPING sauce ) (TOPPING pesto ) (COMPLEX_TOPPING (QUANTITY lot of ) (TOPPING buffalo ) ) ) )
647,(ORDER (PIZZAORDER (NUMBER an ) (SIZE large ) (TOPPING cucumber ) (NOT (TOPPING banana pepper ) ) ) )
648,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING mediumsize ) (TOPPING grill ) (TOPPING chicken ) (TOPPING roast ) (TOPPING garlic ) (TOPPING bacon ) ) )
649,(ORDER (PIZZAORDER (NUMBER an ) (SIZE extra ) (STYLE lare ) (TOPPING roastedred ) (TOPPING pepper ) (TOPPING mushroom ) (TOPPING cheese ) (COMPLEX_TOPPING (QUANTITY light on ) (TOPPING the ) ) ) )
650,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING ham ) (TOPPING bellpeppers ) (NOT (TOPPING ham ) ) ) )
651,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING green ) (TOPPING olive ) (TOPPING jalapeno ) (TOPPING truffle ) (TOPPING oil ) ) )
652,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING caper ) (TOPPING leek ) ) )
653,(ORDER (PIZZAORDER (NUMBER a ) (STYLE largesize ) (TOPPING ham ) (TOPPING pepper ) (TOPPING mushroom ) ) )
654,(ORDER (PIZZAORDER (NUMBER a ) (SIZE mediumsized ) (TOPPING canadian ) (TOPPING artichoke ) (TOPPING artichoke ) (COMPLEX_TOPPING (QUANTITY double ) (TOPPING cheese ) ) ) )
655,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING chiken ) (TOPPING pepperoni ) (NOT (TOPPING tuna ) ) ) )
656,(ORDER (PIZZAORDER (NUMBER one ) (SIZE extra ) (STYLE lrge ) (NOT (TOPPING pesto ) ) (COMPLEX_TOPPING (QUANTITY zucchini ) (TOPPING tuna ) ) ) )
657,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING balsamic ) (TOPPING glaze ) (TOPPING prosciutto ) (NOT (TOPPING prawn ) ) ) )
658,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING pepper ) (NOT (TOPPING zcchini ) ) ) )
659,(ORDER (PIZZAORDER (NUMBER the one ) (TOPPING parmasean ) (TOPPING tomato ) (TOPPING roast ) (TOPPING red ) (TOPPING pepper ) ) )
660,(ORDER (PIZZAORDER (NUMBER a ) (SIZE extra large ) (TOPPING ricotta ) (TOPPING cheese ) (NOT (TOPPING pesto ) ) ) )
661,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (TOPPING pesto ) (TOPPING pepperoni ) ) )
662,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING duck ) (TOPPING carrot ) (NOT (TOPPING pineapple ) ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE up ) ) )
663,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumsize ) (TOPPING grind ) (TOPPING beef ) ) (PIZZAORDER (NUMBER a ) (TOPPING cheese ) (NOT (TOPPING mushroom ) ) ) )
664,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING red ) (TOPPING pepper ) (TOPPING sauce ) (TOPPING sweet ) (NOT (TOPPING red pepper ) ) ) )
665,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE stuff crust ) (TOPPING buffalo ) (TOPPING sauce ) (TOPPING chicken ) ) )
666,(ORDER (PIZZAORDER (NUMBER five ) (SIZE lunch ) (COMPLEX_TOPPING (QUANTITY poppy ) (TOPPING seed ) ) ) )
667,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (STYLE hawiian ) (NOT (TOPPING corn ) ) ) )
668,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING green ) (TOPPING pepper ) (TOPPING cherry ) (TOPPING tomato ) (NOT (TOPPING ham ) ) ) )
669,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING carrot ) (NOT (TOPPING tuna ) ) (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING red ) ) ) )
670,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING ham ) (TOPPING bacon ) (NOT (TOPPING onion ) ) ) )
671,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING grill ) (TOPPING chicken ) (TOPPING parsly ) (TOPPING pepperoni ) ) )
672,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING basil ) (NOT (TOPPING jalapeno ) ) ) )
673,(ORDER (PIZZAORDER (NUMBER a ) (SIZE personal ) (TOPPING chorizo ) (TOPPING chicken ) ) )
674,(ORDER (PIZZAORDER (NUMBER one ) (TOPPING salami ) (TOPPING grill ) ) (PIZZAORDER (NUMBER one ) (STYLE medimsize ) (TOPPING salami ) (TOPPING mushroom ) ) (PIZZAORDER (NUMBER one ) (STYLE medimsize ) (TOPPING ham ) (TOPPING black ) (TOPPING olive ) (TOPPING onion ) ) )
675,(ORDER (PIZZAORDER (NUMBER one ) (STYLE largesize ) (TOPPING pesto ) (TOPPING sauce ) (TOPPING vegetarian ) (NOT (TOPPING pepperoni ) ) ) )
676,(ORDER )
677,(ORDER (PIZZAORDER (NUMBER eleven ) (STYLE glutenfree crust ) (TOPPING red ) (TOPPING pepper ) (NOT (TOPPING chicken ) ) ) )
678,(ORDER (PIZZAORDER (NUMBER six ) (STYLE mediumsize ) (TOPPING red ) (TOPPING onion ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE cocacola ) ) )
679,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING alfredo ) (TOPPING chicken ) (TOPPING mushroom ) (NOT (TOPPING arugula ) ) ) )
680,(ORDER (PIZZAORDER (NUMBER a ) (STYLE meat lover blackbeans ) (COMPLEX_TOPPING (QUANTITY a little bit ) (TOPPING cheese ) ) ) )
681,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING meiumsize ) (TOPPING green ) (TOPPING olive ) (TOPPING pepperoni ) (NOT (TOPPING pineapple ) ) ) )
682,(ORDER (PIZZAORDER (NUMBER a ) (STYLE veggie lover ) (TOPPING a lot ) ) (PIZZAORDER (NUMBER one ) (STYLE of ) (TOPPING parmesan ) (NOT (TOPPING garlic powder ) ) ) )
683,(ORDER )
684,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING sundried ) (TOPPING tomato ) (TOPPING pesto ) (TOPPING sauce ) (NOT (TOPPING bell pepper ) ) ) )
685,(ORDER (PIZZAORDER (NUMBER a ) (SIZE xl ) (TOPPING gorgonzola ) (TOPPING a ) (TOPPING sauce ) (NOT (TOPPING pepperoni ) ) ) )
686,(ORDER (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pesto ) (TOPPING parmesan ) ) (PIZZAORDER (NUMBER a ) (NOT (TOPPING cheese ) ) ) (DRINKORDER (NUMBER a ) ) (DRINKORDER (NUMBER a ) ) )
687,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING chard ) (TOPPING olive ) (TOPPING bacon ) ) )
688,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING banana ) (TOPPING pepper ) (TOPPING bell ) (TOPPING pepper ) (TOPPING hot ) (TOPPING pepper ) (TOPPING onion ) (TOPPING bacon ) ) (DRINKORDER (NUMBER four ) (SIZE medium ) ) )
689,(ORDER (PIZZAORDER (NUMBER a ) (STYLE med ) (TOPPING artichoke ) (TOPPING cheese ) (TOPPING onion ) (TOPPING mushroom ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE pineapple soda ) ) )
690,(ORDER (PIZZAORDER (NUMBER an ) (TOPPING oregano ) (TOPPING pesto ) (NOT (TOPPING big meat ) ) ) )
691,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mediumize ) ) (PIZZAORDER (NUMBER one ) (STYLE stuff crust ) (TOPPING pea ) (TOPPING chicken ) ) )
692,(ORDER (PIZZAORDER (NUMBER a ) (TOPPING hummus ) (TOPPING cheddar ) (TOPPING cheese ) (TOPPING banana ) (TOPPING pepper ) ) )
693,(ORDER (PIZZAORDER (NUMBER a ) (STYLE mdium ) (TOPPING black ) (TOPPING olive ) (TOPPING gorgonzola ) (TOPPING olive ) ) (DRINKORDER (NUMBER a ) (DRINKTYPE diet pepsi too ) ) )
